productId,name,cleanName,imageUrl,categoryId,groupId,url,modifiedOn,imageCount,extCardText,extUPC,lowPrice,midPrice,highPrice,marketPrice,directLowPrice,subTypeName,extNumber,extRarity,extCardType,extHP,extStage,extAttack1,extAttack2,extWeakness,extResistance,extRetreatCost
245876,Dragonite V Box,Dragonite V Box,https://tcgplayer-cdn.tcgplayer.com/product/245876_200w.jpg,3,2906,https://cpt.tcgcsv.com/xm-2,2021-11-17T05:03:06.673,1,"The Pokémon TCG: Dragonite V Box includes:
• 1 foil promo featuring Dragonite V
• 1 foil oversized card featuring Dragonite V
• 4 Pokémon TCG booster packs
• A code card for the Pokémon Trading Card Game Online
<br><br><em>(Pokemon TCG booster packs vary by product.)</em>",0820650839030,74.99,90.0,499.99,67.12,,Normal,,,,,,,,,,
247646,Fusion Strike Booster Pack,Fusion Strike Booster Pack,https://tcgplayer-cdn.tcgplayer.com/product/247646_200w.jpg,3,2906,https://cpt.tcgcsv.com/X3_2,2022-02-25T15:32:27.083,1,Each Fusion Strike booster pack contains 10 random cards.,820650829161,11.99,15.0,45.0,12.96,,Normal,,,,,,,,,,
247651,Fusion Strike Booster Pack Art Bundle [Set of 4],Fusion Strike Booster Pack Art Bundle Set of 4,https://tcgplayer-cdn.tcgplayer.com/product/247651_200w.jpg,3,2906,https://cpt.tcgcsv.com/25_2,2021-11-12T05:03:11.043,1,"Collect each of the 4 unique art packs for Fusion Strike.
<br>Each Fusion Strike booster pack contains 10 random cards.",,42.99,50.0,99.95,47.67,,Normal,,,,,,,,,,
247654,Fusion Strike Booster Box,Fusion Strike Booster Box,https://tcgplayer-cdn.tcgplayer.com/product/247654_200w.jpg,3,2906,https://cpt.tcgcsv.com/65_2,2021-11-16T21:04:00.527,1,Each Sword & Shield—Fusion Strike booster box contains 36 booster packs. <em>(Each pack contains 10 random cards)</em>,820650829161,850.0,1000.0,3000.0,836.73,,Normal,,,,,,,,,,
247655,Fusion Strike Booster Box Case,Fusion Strike Booster Box Case,https://tcgplayer-cdn.tcgplayer.com/product/247655_200w.jpg,3,2906,https://cpt.tcgcsv.com/75_2,2021-11-16T21:04:21.883,1,Each sealed booster box case contains 6 booster boxes of 36 booster packs. <em>(Each pack contains 10 random cards)</em>,0820650829161,6500.0,6999.99,9954.9,4084.51,,Normal,,,,,,,,,,
247656,Fusion Strike Sleeved Booster Pack,Fusion Strike Sleeved Booster Pack,https://tcgplayer-cdn.tcgplayer.com/product/247656_200w.jpg,3,2906,https://cpt.tcgcsv.com/85_2,2021-11-17T18:45:32.57,1,Each Sword & Shield—Fusion Strike sleeved booster pack contains 10 random cards.,820650829178,13.75,18.85,45.0,13.91,,Normal,,,,,,,,,,
247657,Fusion Strike Sleeved Booster Pack Art Bundle [Set of 4],Fusion Strike Sleeved Booster Pack Art Bundle Set of 4,https://tcgplayer-cdn.tcgplayer.com/product/247657_200w.jpg,3,2906,https://cpt.tcgcsv.com/95_2,2025-08-04T14:14:13.903,1,"Collect each of the 4 unique art packs for Fusion Strike.
<br>Each Sword & Shield—Fusion Strike sleeved booster pack contains 10 random cards.",,84.75,87.44,139.95,67.82,,Normal,,,,,,,,,,
247658,Fusion Strike Sleeved Booster Pack Bundle [Set of 8],Fusion Strike Sleeved Booster Pack Bundle Set of 8,https://tcgplayer-cdn.tcgplayer.com/product/247658_200w.jpg,3,2906,https://cpt.tcgcsv.com/b5_2,2022-03-09T20:08:25.55,1,"Contains 8 Sleeved Booster Packs of Sword & Shield—Fusion Strike.
<br>Each Sword & Shield—Fusion Strike sleeved booster pack contains 10 random cards.",,144.98,180.0,239.95,119.6,,Normal,,,,,,,,,,
247659,Fusion Strike Build & Battle Box,Fusion Strike Build and Battle Box,https://tcgplayer-cdn.tcgplayer.com/product/247659_200w.jpg,3,2906,https://cpt.tcgcsv.com/c5_2,2021-11-16T21:16:18.723,1,"EACH POKÉMON TCG: SWORD & SHIELD—FUSION STRIKE BUILD & BATTLE BOX INCLUDES:
<br>• A 23-card Evolution pack featuring key cards from current and prior sets, including 1 of 4 alternate-art promo cards
<br>• 4 Pokémon TCG: Sword & Shield—Fusion Strike booster packs
<br>• 1 deck-building tip sheet",0820650819308,71.96,99.99,120.0,71.83,,Normal,,,,,,,,,,
247660,Fusion Strike Build & Battle Box Display,Fusion Strike Build and Battle Box Display,https://tcgplayer-cdn.tcgplayer.com/product/247660_200w.jpg,3,2906,https://cpt.tcgcsv.com/d5_2,2023-05-03T19:16:32.373,1,Each display contains 10 Fusion Strike Build & Battle Boxes.,0820650829307,999.95,1053.0,1199.95,559.67,,Normal,,,,,,,,,,
247666,Fusion Strike Build & Battle Stadium,Fusion Strike Build and Battle Stadium,https://tcgplayer-cdn.tcgplayer.com/product/247666_200w.jpg,3,2906,https://cpt.tcgcsv.com/l5_2,2025-08-12T12:49:45.947,2,"Enter the Pokémon Stadium—Ready for Battle!<br>
Build two decks from a powerful set of components—and then play right away, with this two-player Build & Battle Stadium set! Each Pokémon Trading Card Game: Sword & Shield—Fusion Strike Build & Battle Stadium contains a massive set of cards, including two Build & Battle Boxes, one for you and one for a friend. Open the Build & Battle Boxes to start building. Each one holds four booster packs and a 23-card Evolution pack, which includes an exclusive foil card. The selection of cards gives you a strong foundation for building a new deck to play against your friends. Get ready to face your opponents with the Pokémon TCG: Sword & Shield—Fusion Strike Build & Battle Stadium!
<br><br>
The Build & Battle Stadium includes everything you need for two players to prepare and battle. Inside this box, you’ll find:
<br>
• 2 individual Build & Battle Boxes, each containing a 23-card Evolution pack to build your decks<br>
• Evolution packs contain 1 of 4 unique foil promo cards<br>
• 4 additional Pokémon TCG: Sword & Shield—Fusion Strike booster packs, so you get 12 in all<br>
• 121 Pokémon TCG Energy cards<br>
• 6 damage-counter dice<br>
• 1 competition-legal coin-flip die<br>
• 2 acrylic condition markers<br>
• A collector’s box to hold everything<br>",0820650809958,267.94,275.97,360.0,185.52,,Normal,,,,,,,,,,
247667,Fusion Strike 3 Pack Blister [Eevee],Fusion Strike 3 Pack Blister Eevee,https://tcgplayer-cdn.tcgplayer.com/product/247667_200w.jpg,3,2906,https://cpt.tcgcsv.com/m5_2,2021-11-16T21:01:26.657,1,"Each 3 Pack blister comes with 3 Fusion Strike booster packs, 1 coin, and a promotional card of Eevee.",0820650809200,80.0,103.5,119.95,65.43,,Normal,,,,,,,,,,
247668,Fusion Strike 3 Pack Blister [Espeon],Fusion Strike 3 Pack Blister Espeon,https://tcgplayer-cdn.tcgplayer.com/product/247668_200w.jpg,3,2906,https://cpt.tcgcsv.com/n5_2,2021-11-16T21:01:42.463,1,"Each 3 Pack blister comes with 3 Fusion Strike booster packs, 1 coin, and a promotional card of Espeon.",0820650829208,94.99,100.0,119.95,64.81,,Normal,,,,,,,,,,
247669,Fusion Strike Single Pack Blister [Tepig],Fusion Strike Single Pack Blister Tepig,https://tcgplayer-cdn.tcgplayer.com/product/247669_200w.jpg,3,2906,https://cpt.tcgcsv.com/p5_2,2021-11-17T18:46:35,1,"Each blister comes with 1 Fusion Strike booster pack, a coin, and a promotional card of Tepig.",795154635757,40.0,54.96,59.98,23.4,,Normal,,,,,,,,,,
247670,Fusion Strike Single Pack Blister [Blitzle],Fusion Strike Single Pack Blister Blitzle,https://tcgplayer-cdn.tcgplayer.com/product/247670_200w.jpg,3,2906,https://cpt.tcgcsv.com/q5_2,2021-11-17T18:47:35.793,1,"Each blister comes with 1 Fusion Strike booster pack, a coin, and a promotional card of Blitzle.",795154632015,49.99,59.93,59.98,24.35,,Normal,,,,,,,,,,
247671,Fusion Strike Elite Trainer Box,Fusion Strike Elite Trainer Box,https://tcgplayer-cdn.tcgplayer.com/product/247671_200w.jpg,3,2906,https://cpt.tcgcsv.com/r5_2,2021-11-16T21:17:44.59,2,"<em><strong>(This product is not the Pokemon Center Exclusive)</em></strong>
<br><br>THE POKÉMON TCG: SWORD & SHIELD — FUSION STRIKE ELITE TRAINER BOX includes:
<br>• 8 Pokémon TCG: Sword & Shield—Fusion Strike booster packs
<br>• 65 card sleeves featuring Mew
<br>• 45 Pokémon TCG Energy cards
<br>• A player’s guide
<br>• A Pokémon TCG rulebook
<br>• 6 damage-counter dice
<br>• 1 competition-legal coin-flip die
<br>• 2 acrylic condition markers
<br>• A collector’s box to hold everything, with 4 dividers to keep it organized
<br>• A code card for the Pokémon Trading Card Game Online",0820650809330,173.5,204.73,360.0,187.71,,Normal,,,,,,,,,,
247673,Fusion Strike Pokemon Center Elite Trainer Box (Exclusive),Fusion Strike Pokemon Center Elite Trainer Box Exclusive,https://tcgplayer-cdn.tcgplayer.com/product/247673_200w.jpg,3,2906,https://cpt.tcgcsv.com/t5_2,2024-06-25T21:06:07.92,2,"This Pokémon TCG: Sword & Shield—Fusion Strike Pokémon Center Elite Trainer Box can be found only at Pokémon Center and comes with exclusive accessories—an extra set of 65 card sleeves and a metallic coin—plus 10 booster packs (two more than in a standard Elite Trainer Box).
<br><br>• 10 Pokémon TCG: Sword & Shield—Fusion Strike booster packs
<br>• 65 card sleeves featuring Genesect
<br>• 65 card sleeves featuring Mew
<br>• 45 Pokémon TCG Energy cards
<br>• A player’s guide to the Sword & Shield—Fusion Strike expansion
<br>• A Pokémon TCG rulebook
<br>• 6 damage-counter dice
<br>• 1 competition-legal coin-flip die
<br>• 1 metallic coin featuring Mew
<br>• 2 acrylic condition markers
<br>• A collector’s box to hold everything, with 4 dividers to keep it organized
<br>• A code card for the Pokémon Trading Card Game Online",820650809941,369.99,479.98,999.99,354.89,,Normal,,,,,,,,,,
